epochs,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9,fold10,avg
1,0.5165353417396545,0.5148775577545166,0.508286714553833,0.5205740928649902,0.5319191217422485,0.5263533592224121,0.5208981037139893,0.5177110433578491,0.5242278575897217,0.5218371152877808,0.5203220307826996
2,0.632349967956543,0.6491304636001587,0.6134921312332153,0.5942452549934387,0.5921318531036377,0.6274278163909912,0.6263411641120911,0.6188230514526367,0.6164727210998535,0.6092656254768372,0.6179680049419403
3,0.7709718346595764,0.791006863117218,0.7271912693977356,0.6924705505371094,0.6923658847808838,0.7645795941352844,0.7701605558395386,0.7510985732078552,0.7398454546928406,0.7354759573936462,0.7435166537761688
4,0.870908260345459,0.8907872438430786,0.808493971824646,0.7682690024375916,0.7764481902122498,0.858805775642395,0.8711057305335999,0.8466018438339233,0.8330250978469849,0.8292346000671387,0.8353679716587067
5,0.9267979860305786,0.9468027949333191,0.877352774143219,0.8572865724563599,0.8341556787490845,0.9164953231811523,0.9296567440032959,0.9010100960731506,0.8945786356925964,0.8859443664550781,0.8970080971717834
6,0.9555938243865967,0.9746901392936707,0.9145262241363525,0.8967515230178833,0.8775179386138916,0.9506168365478516,0.9519931077957153,0.9369679689407349,0.9379189610481262,0.9216368794441223,0.9318213403224945
7,0.9771811962127686,0.9868489503860474,0.9407163262367249,0.9318577647209167,0.9070935845375061,0.9721340537071228,0.9455573558807373,0.9640675783157349,0.9616649150848389,0.9282233715057373,0.9515345096588135
8,0.9819165468215942,0.9903326034545898,0.9383494853973389,0.9533392786979675,0.9315016269683838,0.9835079908370972,0.9838895797729492,0.9800395965576172,0.9771931767463684,0.9668228626251221,0.9686892747879028
9,0.9913181662559509,0.9945140480995178,0.9491958618164062,0.9657599925994873,0.9496109485626221,0.9823635816574097,0.9942352771759033,0.9885586500167847,0.979345440864563,0.9758660197257996,0.9770767986774445
10,0.9962020516395569,0.9976339340209961,0.9821031093597412,0.9720109105110168,0.9605958461761475,0.9907328486442566,0.9970024824142456,0.9936873316764832,0.9885783791542053,0.9857865571975708,0.986433345079422
11,0.9975031614303589,0.9985945224761963,0.9862468242645264,0.9708335399627686,0.9670836329460144,0.9954840540885925,0.9965022206306458,0.996902585029602,0.9916988015174866,0.9918278455734253,0.9892677187919616
12,0.9979919791221619,0.9985849857330322,0.9811015725135803,0.988438069820404,0.9667136669158936,0.9981118440628052,0.9963093996047974,0.9982264637947083,0.9957456588745117,0.9952008724212646,0.9916424512863159
13,0.9985625743865967,0.9990630745887756,0.9926079511642456,0.9932816028594971,0.9835743308067322,0.9982418417930603,0.9972612857818604,0.9985823035240173,0.9972121119499207,0.9971476793289185,0.9955534756183624
14,0.9985601902008057,0.9991732835769653,0.9960329532623291,0.9965292811393738,0.9860556125640869,0.9984691143035889,0.9981189370155334,0.9990023374557495,0.9982114434242249,0.9983839392662048,0.9968537092208862
15,0.9987017512321472,0.9993170499801636,0.9974938631057739,0.9978018999099731,0.9905128479003906,0.998694658279419,0.9983681440353394,0.999182939529419,0.9982233047485352,0.9987852573394775,0.9977081716060638
16,0.9988815784454346,0.9994618892669678,0.9982233047485352,0.9984862208366394,0.9964263439178467,0.9983565807342529,0.9979050755500793,0.9993802309036255,0.9990158081054688,0.9992532730102539,0.9985390305519104
17,0.9991392493247986,0.9995558857917786,0.9986929297447205,0.9989321827888489,0.9975483417510986,0.9990896582603455,0.9982666373252869,0.9990325570106506,0.9992144703865051,0.9991217851638794,0.9988593697547913
18,0.9988159537315369,0.9993631839752197,0.9987426400184631,0.9991219639778137,0.9986453652381897,0.9987332224845886,0.9975090026855469,0.9994615912437439,0.9991719722747803,0.9993022084236145,0.9988867104053497
19,0.9989395141601562,0.9986498355865479,0.9992281794548035,0.9989262819290161,0.9988261461257935,0.9988516569137573,0.9980831146240234,0.999138593673706,0.9991796016693115,0.9991120100021362,0.9988934934139252
20,0.9992918372154236,0.9989644289016724,0.9990167617797852,0.9992331266403198,0.9988911151885986,0.9983340501785278,0.9975529909133911,0.998942494392395,0.9991735816001892,0.9989445805549622,0.9988344967365265
21,0.998748779296875,0.9987636208534241,0.998988687992096,0.9981797337532043,0.9988820552825928,0.9989891052246094,0.9988758563995361,0.9994761943817139,0.9995546340942383,0.99931800365448,0.998977667093277
22,0.999413788318634,0.9994666576385498,0.998274564743042,0.9988389611244202,0.9993130564689636,0.9985478520393372,0.9986012578010559,0.9993384480476379,0.9992058277130127,0.998612642288208,0.9989613056182861
23,0.9982880353927612,0.999077558517456,0.9992716312408447,0.998773455619812,0.9994283318519592,0.999169647693634,0.9994456171989441,0.9992815852165222,0.9992995858192444,0.9990671873092651,0.9991102635860443
24,0.9993150234222412,0.9995585680007935,0.9992949962615967,0.9990807771682739,0.9995236992835999,0.9983644485473633,0.9988806247711182,0.9994975328445435,0.9986979365348816,0.9987748265266418,0.9990988433361053
25,0.9986073970794678,0.9991471767425537,0.999640703201294,0.9987237453460693,0.9995088577270508,0.9988288879394531,0.9993546605110168,0.999151349067688,0.9995941519737244,0.9994544982910156,0.9992011427879334
26,0.999415397644043,0.9995719194412231,0.9988790154457092,0.9989163279533386,0.9995188117027283,0.9983227849006653,0.9994720816612244,0.9995934367179871,0.9994553327560425,0.9993579387664795,0.999250304698944
27,0.9984244108200073,0.9982997179031372,0.9996060132980347,0.9985422492027283,0.999557375907898,0.9988941550254822,0.9993930459022522,0.9993775486946106,0.9996212720870972,0.9995405673980713,0.9991256356239319
28,0.9995673298835754,0.9995372295379639,0.9987742900848389,0.9988272190093994,0.9996261596679688,0.9988747835159302,0.9994392395019531,0.9994770884513855,0.9993396401405334,0.9986717700958252,0.9992134749889374
29,0.9983103275299072,0.9985015392303467,0.9992205500602722,0.998732328414917,0.9994410276412964,0.9992120265960693,0.9991486668586731,0.9994189739227295,0.9997280836105347,0.9992783069610596,0.9990991830825806
30,0.9996615648269653,0.9993775486946106,0.9980376362800598,0.9987057447433472,0.999578058719635,0.9988133907318115,0.9993655681610107,0.9995855689048767,0.9994593858718872,0.9990877509117126,0.9991672217845917
31,0.9981001615524292,0.9987125396728516,0.9992821216583252,0.9991976618766785,0.9995862245559692,0.9992390871047974,0.9991881251335144,0.9994215369224548,0.9997768402099609,0.9992969036102295,0.999180120229721
32,0.999502420425415,0.9993160963058472,0.999090850353241,0.999205470085144,0.9995458126068115,0.9993202686309814,0.9992830753326416,0.9995723366737366,0.9993844628334045,0.9983750581741333,0.9992595851421356
33,0.9982404708862305,0.9990411400794983,0.9994896650314331,0.9993000030517578,0.9992853999137878,0.9991021752357483,0.99906325340271,0.999435305595398,0.9997684955596924,0.9992560148239136,0.999198192358017
34,0.9995808005332947,0.9993399381637573,0.99918532371521,0.9993224740028381,0.9996033906936646,0.9991955161094666,0.9991528987884521,0.9995772242546082,0.9994637966156006,0.9993630647659302,0.9993784427642822
35,0.9983471632003784,0.9988846182823181,0.9997705817222595,0.9991215467453003,0.999426543712616,0.9989580512046814,0.99907386302948,0.9994238615036011,0.9997786283493042,0.9987183809280396,0.9991503238677979
36,0.999629557132721,0.9992071986198425,0.9995546340942383,0.9992530345916748,0.9996964335441589,0.9991331100463867,0.9991983771324158,0.9994204044342041,0.9994699954986572,0.9989786148071289,0.9993541359901428
37,0.9983132481575012,0.9990451335906982,0.9998369216918945,0.9991118311882019,0.999297022819519,0.9986234307289124,0.9991055727005005,0.999308705329895,0.9997715353965759,0.9993000030517578,0.9991713404655457
38,0.9995712637901306,0.9994831085205078,0.9994651079177856,0.9991426467895508,0.9994896650314331,0.9991438388824463,0.9992172718048096,0.9995043277740479,0.9994741082191467,0.9989102482795715,0.999340158700943
39,0.9984836578369141,0.998784601688385,0.9995672702789307,0.9989832639694214,0.9995579123497009,0.9990825653076172,0.9992839097976685,0.9995425343513489,0.9997798204421997,0.9994358420372009,0.9992501378059387
40,0.9996051788330078,0.9993329644203186,0.999444305896759,0.9992178678512573,0.9996731877326965,0.9995918273925781,0.99930739402771,0.9995196461677551,0.9994781017303467,0.9994984865188599,0.9994668960571289
41,0.9987319111824036,0.9991185069084167,0.9998372197151184,0.9989537000656128,0.9996522068977356,0.998938262462616,0.9992730021476746,0.9995457530021667,0.9996852874755859,0.999352216720581,0.9993088066577911
42,0.9994840621948242,0.9996134638786316,0.9995964765548706,0.9992174506187439,0.999729573726654,0.9990365505218506,0.9992759227752686,0.9996411204338074,0.9996359944343567,0.9992470145225525,0.999447762966156
43,0.9985156655311584,0.9989780783653259,0.9997537136077881,0.9990373253822327,0.9996603727340698,0.9991551637649536,0.9990248084068298,0.9993731379508972,0.999683141708374,0.9994394779205322,0.9992620885372162
44,0.9997719526290894,0.9994895458221436,0.999485433101654,0.9994049072265625,0.9997303485870361,0.9993526935577393,0.9992784857749939,0.9996972680091858,0.9996512532234192,0.998662531375885,0.9994524419307709
45,0.9982398152351379,0.9989926815032959,0.9997438788414001,0.9991671442985535,0.9996741414070129,0.9986382722854614,0.9990941286087036,0.9996501207351685,0.9996833801269531,0.9990692138671875,0.9991952776908875
46,0.9992830753326416,0.9995156526565552,0.9994933605194092,0.9993714094161987,0.9997392296791077,0.999517023563385,0.9994354248046875,0.9996253252029419,0.9996529817581177,0.9991714954376221,0.9994804978370666
47,0.9984999895095825,0.9987300038337708,0.9996260404586792,0.9991245269775391,0.9996582865715027,0.9988757371902466,0.9995629191398621,0.9994141459465027,0.9996830821037292,0.9994358420372009,0.9992610573768616
48,0.9996725916862488,0.9995808005332947,0.9994897842407227,0.9992621541023254,0.9997434616088867,0.999226450920105,0.9993155002593994,0.9993138909339905,0.9996570944786072,0.999004602432251,0.9994266331195831
49,0.9984657764434814,0.9992992877960205,0.9997994303703308,0.9990187883377075,0.9996762871742249,0.9991238117218018,0.9997196197509766,0.9997105002403259,0.9996862411499023,0.9994049072265625,0.9993904650211334
50,0.9996681213378906,0.9992565512657166,0.9994955062866211,0.9992460608482361,0.9997481107711792,0.9996286034584045,0.9994139075279236,0.9994807839393616,0.9996660947799683,0.9993239641189575,0.9994927704334259
